"key";"cz";"en";"sk"
"combo.yes";"Ano";"Yes";"Áno"
"combo.no";"Ne";"No";"Nie"
"combo.all";"Vždy";"All";"Vždy"
"combo.live";"Žijícím";"Live";"Žijúcim"
"label.hideBirth";"Skrýt data narození";"Hide birth data";"Skryť dátumy narodenia"
"label.hideDeath";"Skrýt data smrti";"Hide death data";"Skryť dátumy smrti"
"label.hidePlaces";"Skrýt adresy";"Hide address";"Skryť adresy"
"label.hideJobs";"Skrýt zaměstnání";"Hide jobs";"Skryť zamestnanie"
"label.hideEducation";"Skrýt vzdělání";"Hide education";"Skryť vzdelanie"
"label.hideContact";"Skrýt tel. a email";"Hide phone and emails";"Skryť tel. a email"
"label.hideWebpages";"Skrýt webové stránky";"Hide web pages";"Skryť webové stránky"
"label.hideReligion";"Skrýt náboženské údaje";"Hide religion data";"Skryť náboženské údaje"
"label.hideNationality";"Skrýt národnost";"Hide nationality";"Skryť národnosť"
"label.hideUserDefined";"Skrýt uživ. definované";"Hide user defined";"Skryť užív. definované"
"label.hideRegistryInfo";"Skrýt údaje z matrik";"Hide registry info";"Skryť údaje z matrík"
"label.hideHeads";"Skrýt obrázky hlav";"Hide head images";"Skryť obrázky hláv"
"label.hidePhotos";"Skrýt fotografie";"Hide photos";"Skryť fotografie"
"label.selectProfile";"Vyberte profil";"Select profile";"Vyberte profil"
"label.rodFile";"Zdrojový soubor";"Source file";"Zdrojový súbor"
"rod.name";"Soubor aplikace Ancestry (v.1.0.20)";"Ancestry project file (v.1.0.20)";"Súbor aplikácie Ancestry (v.1.0.20)"
"rodx.name";"Soubor aplikace Ancestry";"Ancestry project file";"Súbor aplikácie Ancestry"
"rodz.name";"Archiv aplikace Ancestry";"Ancestry archive file";"Archív aplikácie Ancestry"
"label.template";"Šablona";"Template";"Šablóna"
"label.outputDir";"Výstupní složka";"Output directory";"Výstupná zložka"
"button.addProfile";"Přidat nový profil";"Add new profile";"Pridať nový profil"
"profile.add";"Zadejte jméno nového profilu";"Enter name of new profile";"Zadajte názov nového profilu"
"profile.add.title";"Nový profil";"Profile name";"Nový profil"
"button.deleteProfile";"Smazat vybraný profil";"Delete selected profile";"Zmazať vybraný profil"
"button.addTemplate";"Přidat další šablonu";"Add new template";"Pridať ďalšiu šablónu"
"button.generate";"Generuj html!";"Generate html!";"Generuj html!"
"label.preview";"Ukázka detailní stránky";"Preview of detail page";"Ukážka detailnej stránky"
"openRod.title";"Vyberte váš rod soubor";"Select your rod file";"Vyberte Váš rod súbor"
"selectOutput.title";"Vyberte výstupní složku";"Select output directory";"Vyberte výstupnú zložku"
"selectOutput.loadSettings";"Ve zvolené výstupní složce nalezen soubor s uloženým nastavením z minula.{0}Načíst toto nastavení do okna aplikace?";"There was found last used settings in selected folder.{0}Do you want to load this setting into window?";"Vo zvolenej výstupnej zložke bol nájdený súbor s uloženým nastavením z minulosti.{0}Načítať toto nastavenie do okna aplikácie?"
"selectOutput.loadSettings.title";"Načíst nastavení?";"Load settings?";"Načítať nastavenie?"
"label.townInBirth";"Pozice obce v místu narození";"Town position in birth place";"Pozícia obce alebo mesta v mieste narodenia"
"label.townInBirth.tip";"Pozice obce či města v místu narození, místu úmrtí a místu pohřbení";"Position of town in birth place, death place or burial place";"Pozícia obce alebo mesta v mieste narodenia, mieste úmrtia a mieste pochovania"
"label.townInAddress";"Pozice obce v adrese";"Town position in address";"Pozícia obce alebo mesta v adrese"
"label.townInAddress.tip";"Pozice obce či města v adrese bydliště";"Position of town in live place address";"Pozícia obce alebo mesta v adrese bydliska"
"label.addressSplitter";"Oddělovač v adrese";"Separator used in addresses";"Oddeľovač v adrese"
"label.addressSplitter.tip";"Např. v adrese ""Dlouhá 28, Hradec Králové, 500 02"" je oddělovač čárka";"E.g. in case address is ""Long street 28, London, 432 10"" then separator is comma";"Napr. v adrese ""Dlhá 28, Bratislava, 800 00"" je oddeľovačom čiarka"
"label.hideDocuments";"Skrýt soubory osob";"Hide documents of person";"Skryť súbory osôb"
"label.hideCredentials";"Skrýt osobní dokumenty";"Hide credentials documents";"Skryť osobné dokumenty"
"label.hideMarriageDate";"Skrýt data svatby";"Hide marriage date";"Skryť dáta svadby"
"label.hideMarriagePlace";"Skrýt místo svatby";"Hide marriage place";"Skryť miesto svadby"
"check.maidenNames";"Zobrazit rodná příjmení místo příjmení";"Show maiden names instead of last names";"Zobraziť rodné priezviská namiesto priezvisk"
"check.maidenNames.tip";"Doporučuje se nechat zaškrtnuté";"Leave checked is recomanded ";"Odporúča sa ponechať zaškrtnuté"
"check.useBurialPlace";"Zahrnout i místa pohřbení";"Include burrial places";"Zahrnúť aj miesta pochovania"
"check.showId";"Zobrazovat id osob";"Show id numbers of persons";"Zobrazovať id osôb"
"label.onlyGroups";"Povolené skupiny (oddělovač ;)";"Allowed groups (separator is ;)";"Povolené skupiny (oddeľovač ;)"
"label.onlyGroups.tip";"Nechte prázdné, chcete-li zobrazit všechny";"Leave emty to show all people";"Ponechajte prázdne, ak chcete zobraziť všetky"
"label.hideGroups";"Zakázané skupiny (oddělovač ;)";"Blocked groups (separator is ;)";"Zakázané skupiny (oddeľovač ;)"
"label.hideGroups.tip";"Seznam zakázaných skupin";"List of blocked groups";"Zoznam zakázaných skupín"
"check.blockHidden";"Blokovat i soubory zakázaných";"Block files of blocked people too";"Blokovať aj súbory zakázaných"
"check.blockHidden.tip";"Jinak pouze skryje osoby, ale soubory zobrazí u jiných osob, které je mají přiřazeny";"In other case hides only people, but files can be shown in other people, which has assigned them";"Inak len skryje osoby, ale súbory zobrazí pri iných osobách, ku ktorým sú tiež priradené"
"check.enableDebug";"Logování na úrovni debug (extrémně zpomaluje) - nutný restart";"Logging on debug level (extremly slower) - restart is needed";"Logovanie na úrovni debug (extrémne spomaľuje) - nutný reštart"
"label.hideAdditionalInfo";"Skrýt doplňující údaje";"Hide additional info";"Skryť doplňujúce údaje"
"label.pictureResolution";"Max. velikost fotografií";"Max. size of photos";"Max. veľkosť fotografií"
"label.pictureResolution.tip";"Maximální velikost fotografií, větší fotografie budou zmenšeny";"Maximal size of photos, larger photos will be scaled";"Maximálna veľkosť fotografií, väčšie fotografie budú zmenšené"
"label.language";"Jazyky";"Languages";"Jazyky"
"label.mainPerson";"Hlavní osoba";"Main person";"Hlavná osoba"
"label.mainPerson.tip";"Použito v hierarchickém seznamu osob";"Used in hierarchical list of people";"Použité v hierarchickom zozname osôb"
"label.maps";"Vyhledávač map";"Maps search engine";"Vyhľadávač máp"
"panel.basicSettings";"Základní nastavení";"Basic settings";"Základné nastavenie"
"panel.additionalSettings";"Rozšířené nastavení";"Additional settings";"Rozšírené nastavenie"
"panel.imagesSettings";"Obrázky";"Pictures";"Obrázky"
"panel.placesSettings";"Seznam míst";"Places list";"Zoznam miest (lokalít)"
"process.title";"Průběh generování";"Generation progress";"Priebeh generovania"
