"key";"cz";"en";"sk";"de"
"language.name";"česky";"english";"slovensky";"Deutsch"
"locale";"cs_CZ";"en_GB";"sk_SK";"de_DE"
"dateFormat";"dd.MM.yyyy";"MM/dd/yyyy";"dd.MM.yyyy";"dd.MM.yyyy"
"credential.assignedPeople";"Osoby přiřazené k osobnímu dokladu";"People assigned to credential";"Osoby priradené k listine";"Personen zu dem die persönlichen Dokument zugeordnet sind"
"credential.comment";"Komentář";"Comment";"Komentár";"Kommentar"
"credential.headline";"Detaily osobního dokladu";"Credential details";"Detaily listiny";"Details der persönlichen Dokumentes"
"credential.name";"Název osobního dokladu";"Credential name";"Názov listiny";"Name des persönlichen Dokumentes"
"credential.year";"Rok";"Year";"Rok";"Jahr"
"credentials.assignedPeople";"přiřazené osoby";"assigned people";"priradené osoby";"zugeordnete Personen"
"credentials.headline";"Seznam osobních dokladů";"List of credentials";"Zoznam osobných dokladov";"Liste der persönlichen Unterlagen"
"document.assignedPeople";"Osoby přiřazené k dokumentu";"People assigned to document";"priradené osoby";"Verzeichnis dem Dokument zugeordnete in Personen"
"document.comment";"Komentář";"Comment";"Komentár";"Kommentar"
"document.headline";"Detaily dokumentu";"Document details";"Detaily súboru";"Dokument details"
"document.name";"Název dokumentu";"Document name";"Názov súboru";"Dokument Title"
"document.showDownload";"zobrazit/stáhnout {0}.{1}";"show/download {0}.{1}";"zobraziť/stiahnuť {0}.{1}";"view / download {0}.{1}"
"document.type";"Typ";"Type";"Typ";"Typ"
"document.year";"Rok";"Year";"Rok";"Jahr"
"documents.assignedPeople";"přiřazené osoby";"assigned people";"priradené osoby";"zugeordnete Personen"
"documents.headline";"Seznam dokumentů";"List of documents";"Zoznam súborov";"Verzeichnis der Dokumente"
"footer.text";"Tyto stránky byly vygenerovány free programem {0} dne {1} za použití dat zpracovaných free genealogickým programem {2}.";"These pages were generated by free application {0} on the {1} by using data processed in the free genealogic application {2}.";"Tieto stránky boli vygenerované free programom {0} dňa {1} s použitím dát spracovaných  free genealogickým programom {2}.";"Diese Seiten wurden erstellt kostenloses Programm  {0} Tag {1} welcher mit dem Daten verarbeitet  die erstellt wurde Kostenloses Programm {2}."
"hierarchicalList.generationGreatGrandChildren";"Generace pravnoučat";"-3rd generation";"Generácia pravnúčat";"Urenkel Generation"
"hierarchicalList.generationGrandChildren";"Generace vnoučat";"Generation of grandchildren";"Generácia vnúčat";"Generation der Enkel"
"hierarchicalList.generationGrandParents";"Generace prarodičů";"Grandparents generation";"Generácia prarodičov";"Großeltern Generationen"
"hierarchicalList.generationHeadline";"{0}. generace";"{0}{0, choice , -4#th|-3#rd|-2#nd|-1#st|1#st|2#nd|3#rd|4#th} generation";"{0}. generácia";"{0}. Generation"
"hierarchicalList.generationChildren";"Generace dětí hlavní osoby";"Generation of children of the main person";"Generácia detí hlavnej osoby";"Generationen von Kindern der wichtigsten Person"
"hierarchicalList.generationMainPerson";"Generace hlavní osoby";"Generation of the main person";"Generácia hlavnej osoby";"Generation der wichtigen Person"
"hierarchicalList.generationParents";"Generace rodičů";"Parents generation";"Generácia rodičov";"Generation der Eltern"
"hierarchicalList.headline";"Hierarchický seznam osob";"Hierarchical list of people";"Hierarchický zoznam osôb";"Hierarchisches Verzeichnis von Personen"
"hierarchicalList.outOfTheTree";"Osoby mimo hlavní strom";"People out of the main tree";"Osoby mimo hlavného stromu";"Personen außerhalb des Baumes"
"index.headline";"Rodokmen - {0}";"Family tree - {0}";"Rodokmeň - {0}";"Stammbaum - {0}"
"index.list";"Abecední seznam osob";"Alphabetical list of people";"Abecedný zoznam osôb";"Alphabetisches Verzeichnis der Personen"
"index.listCredentials";"Seznam osobních dokladů";"List of credentials";"Zoznam osobných dokladov";"Verzeichnis der persönlichen Dokumente"
